track_spotify_id,artist_name,title,keywords,normalized_keywords
00AoRZ8103mVeOVfpTfGuR,Luny Tunes,Mayor Que Yo 3,"['romantic tension', 'reggaeton vibe', 'urban nightlife', 'flirtation', 'desire', 'dance rhythm', 'Latin beats', 'party atmosphere', 'seduction', 'energetic', 'club scene', 'love conflict', 'passion', 'rhythmic flow', 'youth culture', 'beat-driven', 'dynamic', 'expressive', 'modern romance', 'vocal interplay', 'tempo', 'melodic hooks', 'emotional intensity', 'night out', 'social interaction']","['romance', 'club', 'reggae', 'beat', 'nightlife', 'conflict', 'vocal', 'energy', 'hook', 'teen', 'passion', 'seduction', 'flirty', 'desire', 'latin', 'modern', 'interaction', 'dynamic', 'expressive', 'tempo', 'party', 'emotion', 'rhythm']"
00BuKLSAFkaEkaVAgIMbeA,Lady Gaga,Telephone,"['communication', 'urgency', 'escape', 'party', 'connection', 'dance', 'pop', 'electronic', 'nightlife', 'frustration', 'call', 'relationship', 'energy', 'club', 'freedom', 'technology', 'rebellion', 'vibrant', 'catchy', 'rhythm', 'modern', 'interaction', 'emotion', 'tension']","['vibrant', 'club', 'escape', 'nightlife', 'electro', 'energy', 'dance', 'frustration', 'rebellion', 'urgency', 'call', 'tension', 'technology', 'pop', 'modern', 'interaction', 'relationship', 'freedom', 'connection', 'catchy', 'party', 'emotion', 'rhythm', 'communication']"
00i0O74dXdaKKdCrqHnfXm,Ricky Martin,La Mordidita (feat. Yotuel),"['passion', 'dance', 'seduction', 'energy', 'rhythm', 'Latin pop', 'upbeat', 'party', 'flirtation', 'heat', 'celebration', 'movement', 'fun', 'summer', 'vibrant', 'love', 'tropical', 'festive', 'joy', 'sensual', 'beat', 'dynamic', 'colorful', 'nightlife', 'excitement']","['vibrant', 'beat', 'nightlife', 'movement', 'summer', 'joy', 'fun', 'energy', 'dance', 'passion', 'festive', 'seduction', 'flirty', 'upbeat', 'pop', 'tropical', 'cold', 'dynamic', 'color', 'sensual', 'love', 'party', 'rhythm', 'exciting', 'celebration']"
00iQcGMeC6agUvBjHdkAAM,La Oreja de Van Gogh,Un Cuento Sobre el Agua,"['nostalgia', 'reflection', 'melancholy', 'love', 'memory', 'pop rock', 'romantic', 'emotional', 'storytelling', 'water imagery', 'introspection', 'soft vocals', 'melodic', 'sentimental', 'poetic', 'dreamy', 'heartfelt', 'acoustic elements', 'gentle rhythm', 'yearning', 'hope', 'past experiences', 'quiet moments', 'warmth', 'intimate']","['mood', 'romance', 'hope', 'acoustic', 'life experience', 'narrative', 'vocals', 'reflection', 'nostalgia', 'sentimental', 'rain imagery', 'desire', 'introspection', 'pop', 'poetic', 'memory', 'cold', 'melody', 'sensual', 'moment', 'love', 'heartfelt', 'emotion', 'rhythm', 'dream']"
017PF4Q3l4DBUiWoXk4OWT,Dua Lipa,Break My Heart,"['heartbreak', 'love', 'vulnerability', 'emotional pain', 'relationship', 'pop', 'dance', 'upbeat', 'catchy', 'romantic tension', 'conflict', 'self-doubt', 'passion', 'melancholy', 'yearning', 'modern', 'synth', 'groove', 'club', 'energy', 'youth', 'desire', 'regret', 'introspection', 'hope']","['romance', 'mood', 'club', 'self-doubt', 'regret', 'hope', 'breakup', 'energy', 'dance', 'passion', 'teen', 'desire', 'upbeat', 'groove', 'introspection', 'pop', 'modern', 'relationship', 'love', 'catchy', 'vulnerable', 'synth', 'emotion', 'conflict']"
01YedSX5OYtSCWdO1DRhvY,La Oreja de Van Gogh,20 de Enero,"['love', 'memory', 'nostalgia', 'heartbreak', 'reflection', 'pop rock', 'romantic', 'melancholy', 'sentimental', 'introspection', 'emotional', 'soft melody', 'yearning', 'past relationship', 'hope', 'regret', 'acoustic', 'storytelling', 'warmth', 'gentle rhythm', 'vulnerability', 'affection', 'time', 'connection', 'loss']","['romance', 'mood', 'affection', 'regret', 'hope', 'breakup', 'acoustic', 'narrative', 'reflection', 'nostalgia', 'past', 'sentimental', 'desire', 'introspection', 'pop', 'memory', 'cold', 'time', 'melody', 'connection', 'love', 'loss', 'vulnerable', 'emotion', 'rhythm']"
01uqI4H13Gsd8Lyl1EYd8H,Macklemore & Ryan Lewis,Same Love (feat. Mary Lambert),"['equality', 'love', 'acceptance', 'social justice', 'LGBTQ+', 'hip hop', 'activism', 'emotional', 'inspirational', 'progressive', 'identity', 'rights', 'unity', 'hope', 'change', 'relationship', 'honesty', 'compassion', 'community', 'awareness', 'freedom', 'support', 'courage', 'truth', 'empathy']","['hope', 'rights', 'awareness', 'lies', 'progressive', 'protest', 'bravery', 'identity', 'community', 'honesty', 'support', 'rap', 'equality', 'empathy', 'relationship', 'unity', 'freedom', 'inspiration', 'love', 'justice', 'lgbtq+', 'emotion', 'change', 'acceptance']"
02JIdsrod3BYucThfUFDUX,Camille,Le Festin,"['hope', 'dreams', 'perseverance', 'joy', 'inspiration', 'uplifting', 'melodic', 'French chanson', 'orchestral', 'warm', 'optimism', 'gratitude', 'journey', 'aspiration', 'lighthearted', 'emotional', 'classic', 'romantic', 'gentle', 'poetic', 'motivational', 'heartfelt', 'timeless', 'soft vocals', 'encouragement']","['french chanson', 'romance', 'motivation', 'perseverance', 'hope', 'joy', 'vocals', 'timeless', 'aspiration', 'encouragement', 'journey', 'classic', 'poetic', 'heartfelt', 'cold', 'inspiration', 'melody', 'orchestra', 'uplift', 'optimism', 'gratitude', 'emotion', 'dream', 'lighthearted', 'gentle']"
02XnQdf7sipaKBBHixz3Zp,Lady Gaga,Paparazzi,"['obsession', 'fame', 'media', 'love', 'danger', 'pop', 'dance', 'celebrity', 'flashbulbs', 'romance', 'jealousy', 'intrusion', 'glamour', 'addiction', 'pressure', 'nightlife', 'performance', 'heartbreak', 'desperation', 'flashy', 'intensity', 'vulnerability', 'exposure', 'obsessive', 'drama']","['intrusion', 'romance', 'addiction', 'desperation', 'danger', 'nightlife', 'breakup', 'exposure', 'drama', 'pressure', 'intensity', 'media', 'dance', 'flashbulbs', 'celebrity', 'pop', 'obsession', 'fame', 'performance', 'jealousy', 'love', 'flashy', 'vulnerable', 'glamour', 'obsessive']"
02bKaAG61tMw9c63fzKXal,Alex Ubago,Sin miedo a nada (feat. Amaia Montero),"['fearless', 'love', 'courage', 'hope', 'commitment', 'romantic', 'emotional', 'ballad', 'passion', 'vulnerability', 'intimacy', 'trust', 'dedication', 'melancholy', 'soft vocals', 'acoustic', 'sentimental', 'uplifting', 'heartfelt', 'slow tempo', 'relationship', 'overcoming', 'strength', 'devotion', 'connection']","['trust', 'romance', 'mood', 'devotion', 'hope', 'acoustic', 'vocals', 'passion', 'sentimental', 'bravery', 'ballad', 'commitment', 'dedication', 'overcoming', 'relationship', 'strong', 'tempo', 'connection', 'sensual', 'love', 'uplift', 'vulnerable', 'heartfelt', 'emotion']"
